party,constituency,name,margin,state,votes,color
Bharatiya Janata Party,Lakhisarai,VIJAY KUMAR SINHA,6556,Bihar,75901,#FB7B0D
Lok Jan Shakti Party,Lalganj,RAJ KUMAR SAH,20293,Bihar,80842,#999
Janata Dal (United),Laukaha,LAKSHMESHWAR ROY,23833,Bihar,79971,#594671
Bharatiya Janata Party,Lauriya,VINAY BIHARI,17573,Bihar,57351,#FB7B0D
Rashtriya Janata Dal,Madhepura,CHANDRA SHEKHAR,37642,Bihar,90974,#21610B
Bharatiya Janata Party,Madhuban,RANA RANDHIR,16222,Bihar,61054,#FB7B0D
Rashtriya Janata Dal,Madhubani,SAMIR KUMAR MAHASETH,7307,Bihar,76823,#21610B
Janata Dal (United),Maharajganj,HEM NARAYAN SAH,20292,Bihar,68459,#594671
Rashtriya Janata Dal,Mahishi,DR. ABDUL GHAFOOR,26135,Bihar,56436,#21610B
Janata Dal (United),Mahnar,UMESH SINGH KUSHWAHA,26455,Bihar,69825,#594671
Rashtriya Janata Dal,Mahua,TEJ PRATAP YADAV,28155,Bihar,66927,#21610B
Rashtriya Janata Dal,Makhadumapur (SC),SUBEDAR DAS,26777,Bihar,66631,#21610B
Rashtriya Janata Dal,Maner,BHAI VIRENDRA,22828,Bihar,89773,#21610B
Indian National Congress,Manihari (ST),MANOHAR PRASAD SINGH,13680,Bihar,61704,#019733
Indian National Congress,Manjhi,VIJAY SHANKER DUBEY,8866,Bihar,29558,#019733
Rashtriya Janata Dal,Marhaura,JEETENDRA KUMAR RAI,16718,Bihar,66714,#21610B
Rashtriya Janata Dal,Masaurhi (SC),REKHA DEVI (VILL- PABHEDA),39186,Bihar,89657,#21610B
Janata Dal (United),Matihani,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,22688,Bihar,89297,#594671
Rashtriya Janata Dal,Minapur,RAJEEV KUMAR URF MUNNA YADAV,23940,Bihar,80790,#21610B
Bharatiya Janata Party,Mohania (SC),NIRANJAN RAM,7581,Bihar,60911,#FB7B0D
Rashtriya Janata Dal,Mohiuddinnagar,EJYA YADAV,23431,Bihar,47137,#21610B
Independent,Mokama,ANANT KUMAR SINGH,18348,Bihar,54005,#95b3d7
Janata Dal (United),Morwa,VIDYA SAGAR SINGH NISHAD,18816,Bihar,59206,#594671
Bharatiya Janata Party,Motihari,PRAMOD KUMAR,18517,Bihar,79947,#FB7B0D
Rashtriya Janata Dal,Munger,VIJAY KUMAR 'VIJAY',4365,Bihar,77216,#21610B
Bharatiya Janata Party,Muzaffarpur,SURESH KUMAR SHARMA,29739,Bihar,95594,#FB7B0D
Janata Dal (United),Nabinagar,VIRENDRA KUMAR SINGH,5261,Bihar,42035,#594671
Janata Dal (United),Nalanda,SHRAWON KUMAR,2996,Bihar,72596,#594671
Rashtriya Janata Dal,Narkatia,SHAMIM AHMAD,19982,Bihar,75118,#21610B
Indian National Congress,Narkatiaganj,VINAY VARMA,16061,Bihar,57212,#019733
Rashtriya Janata Dal,Narpatganj,ANIL KUMAR YADAV,25951,Bihar,90250,#21610B
Janata Dal (United),Nathnagar,AJAY KUMAR MANDAL,7825,Bihar,66485,#594671
Bharatiya Janata Party,Nautan,NARAYAN PRASAD,14335,Bihar,66697,#FB7B0D
Rashtriya Janata Dal,Nawada,RAJBALLABH PRASAD,16726,Bihar,88235,#21610B
Janata Dal (United),Nirmali,ANIRUDH PRASAD YADAV,23951,Bihar,79600,#594671
Rashtriya Janata Dal,Nokha,ANITA DEVI,22998,Bihar,72780,#21610B
Rashtriya Janata Dal,Obra,BIRENDRA KUMAR SINHA,11396,Bihar,56042,#21610B
Rashtriya Janata Dal,Paliganj,JAY VARDHAN YADAV ALIAS BACHCHA YADAV,24453,Bihar,65932,#21610B
Janata Dal (United),Parbatta,RAMANAD PRASAD SINGH,28924,Bihar,76248,#594671
Bharatiya Janata Party,Parihar,GAYTRI DEVI,4017,Bihar,66388,#FB7B0D
Bharatiya Janata Party,Paroo,ASHOK KUMAR SINGH,13539,Bihar,80445,#FB7B0D
Rashtriya Janata Dal,Parsa,CHANDRIKA RAI,42335,Bihar,77211,#21610B
Rashtriya Janata Dal,Patepur (SC),PREMA CHAUDHARY,12461,Bihar,67548,#21610B
Bharatiya Janata Party,Patna Sahib,NAND KISHORE YADAV,2792,Bihar,88108,#FB7B0D
Janata Dal (United),Phulparas,GULJAR DEVI,13415,Bihar,64368,#594671
Janata Dal (United),Phulwari (SC),SHYAM RAJAK,45713,Bihar,94094,#594671
Bharatiya Janata Party,Pipra,SHYAMBABU PRASAD YADAV,3930,Bihar,65552,#FB7B0D
Rashtriya Janata Dal,Pipra,YADUBANSH KUMAR YADAV,36369,Bihar,85944,#21610B
Rashtriya Janata Dal,Pirpainti (SC),RAM VILASH PASWAN,5144,Bihar,80058,#21610B
Bharatiya Janata Party,Pranpur,BINOD KUMAR SINGH,8101,Bihar,47924,#FB7B0D
Bharatiya Janata Party,Purnia,VIJAY KUMAR KHEMKA,32815,Bihar,92020,#FB7B0D
Janata Dal (United),Rafiganj,ASHOK KUMAR SINGH,9525,Bihar,62897,#594671
Rashtriya Janata Dal,Raghopur,TEJASHWI PRASAD YADAV,22733,Bihar,91236,#21610B
Rashtriya Janata Dal,Raghunathpur,HARISHANKAR YADAV,10622,Bihar,61042,#21610B
Rashtriya Janata Dal,Raja Pakar (SC),SHIVCHANDRA RAM,15155,Bihar,61251,#21610B
Rashtriya Janata Dal,Rajauli (SC),PRAKASH VEER,4615,Bihar,70549,#21610B
Janata Dal (United),Rajgir (SC),RAVI JYOTI KUMAR,5390,Bihar,62009,#594671
Bharatiya Janata Party,Rajnagar (SC),RAM PRIT PASWAN,6242,Bihar,71614,#FB7B0D
Janata Dal (United),Rajpur (SC),SANTOSH KUMAR NIRALA,32788,Bihar,84184,#594671
Bharatiya Janata Party,Ramgarh,ASHOK KUMAR SINGH,8011,Bihar,57501,#FB7B0D
Bharatiya Janata Party,Ramnagar (SC),BHAGIRATHI DEVI,17988,Bihar,82166,#FB7B0D
Janata Dal (United),Raniganj (SC),ACHMIT RISHIDEV,14930,Bihar,77717,#594671
Bharatiya Janata Party,Raxaul,AJAY KUMAR SINGH,3169,Bihar,64731,#FB7B0D
Indian National Congress,Riga,AMIT KUMAR,22856,Bihar,79217,#019733
Indian National Congress,Rosera (SC),DR. ASHOK KUMAR,34361,Bihar,85506,#019733
Rashtriya Janata Dal,Runnisaidpur,MANGITA DEVI,14110,Bihar,55699,#21610B
Janata Dal (United),Rupauli,BIMA BHARTI,9672,Bihar,50945,#594671
